Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
southern_bantu;Tsonga;;;;;;;;;;;;;
khoisan;Khoikhoi;;;;;;;;;;;;;
pygmy;Pygmie;;;;;;;;;;;;;
bakongo;Sabaca;;;;;;;;;;;;;
lacustrine_bantu;Southern Babantu;;;;;;;;;;;;;
ENG_2011;Nyanza;;;;;;;;;;;;;
PROV2939;Dziehe Nyanza;;;;;;;;;;;;;
PROV3102;Anziehe Nyanza;;;;;;;;;;;;;
PROV3538;Koyes;;;;;;;;;;;;;
PROV3539;Dolisy;;;;;;;;;;;;;
PROV3540;Ndjole;;;;;;;;;;;;;
PROV3541;Akele;;;;;;;;;;;;;
PROV3542;Mossaka;;;;;;;;;;;;;
PROV3543;Mdankanda;;;;;;;;;;;;;
PROV3544;Vusobe;;;;;;;;;;;;;
PROV3545;Lubai;;;;;;;;;;;;;
PROV3546;Mokamda;;;;;;;;;;;;;
PROV3547;Mwenga;;;;;;;;;;;;;
PROV3548;Cualuca;;;;;;;;;;;;;
PROV3549;Cindese;;;;;;;;;;;;;
PROV3550;Coimbende;;;;;;;;;;;;;
PROV3551;Coilacoir;;;;;;;;;;;;;
PROV3552;Kauvino;;;;;;;;;;;;;
PROV3553;Catomvo;;;;;;;;;;;;;
PROV3554;Kasarzi;;;;;;;;;;;;;
PROV3555;Fualrume;;;;;;;;;;;;;
PROV3556;Likcasi;;;;;;;;;;;;;
PROV3557;Cahinka;;;;;;;;;;;;;
PROV3558;Dejuh;;;;;;;;;;;;;
PROV3559;Yutu;;;;;;;;;;;;;
PROV3560;Mirza;;;;;;;;;;;;;
PROV3561;Zaer;;;;;;;;;;;;;
south_forest_bantu;Central Babantu;;;;;;;;;;;;;
forest_bantu;Northern Babantu;;;;;;;;;;;;;
