Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
open_territories;Open Territories;;;;;;;;;;;;;
open_territories_desc;Since we have opened up more territories for colonization, people are rushing towards our ports;;;;;;;;;;;;;
biobio_mining_reforms;Biobio mining reforms;;;;;;;;;;;;;
biobio_mining_reforms_desc;The kickstarted Biobio mining industry has been a boon to our wider economy;;;;;;;;;;;;;
incan_industrial_reforms;Incan industrial reforms;;;;;;;;;;;;;
incan_industrial_reforms_desc;As we seek to strengthen ourselves economically, we seeked to modernize both our industry and farming. The reforms are taking effect;;;;;;;;;;;;;
incan_reform_benefits_mining;Incan mining reforms;;;;;;;;;;;;;
incan_reform_benefits_mining_desc;New machines, new equipment, and new training are yielding better productions!;;;;;;;;;;;;;
incan_reform_benefits_farming;Incan farming reforms;;;;;;;;;;;;;
incan_reform_benefits_farming_desc;New machines, new equipment, and new training are yielding better harvests!;;;;;;;;;;;;;
new_states;New states;;;;;;;;;;;;;
new_states_desc;Our new territories are getting some serious migration;;;;;;;;;;;;;
the_blessed_king;The blessed King;;;;;;;;;;;;
the_blessed_king_desc;The blood of a Saint flows in our King's veins.;;;;;;;;;;;;
the_illustrious_king;The illustrious King;;;;;;;;;;;;
the_illustrious_king_desc;Our King is a popular and prestigious figure.;;;;;;;;;;;;
the_soldier_king;The soldier King;;;;;;;;;;;;
the_soldier_king_desc;Our King is an experienced member of the military;;;;;;;;;;;;
french_terror;French Terror;;;;;;;;;;;;
