Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
wool_mill;Wool Mill;;;;;;;;;;;;;
wool_mill_desc;Wool was the traditional source of fabric until cotton was discovered during the Age of Sail. Despite this, wool is still widely used by the textile industry.;;;;;;;;;;;;;
synthetic_rubber_factory;Synthetic Rubber Plant;;;;;;;;;;;;;
synthetic_rubber_factory_desc;A plant in which artificial rubber is produced, reducing the nation's reliance on natural sources.;;;;;;;;;;;;;
synthetic_tropical_factory;Synthetic Tropical Wood Factory;;;;;;;;;;;;x,,
synthetic_tropical_factory_desc;Using oil, the synthetic tropical factory produces tropical wood. Vital for nations that do not have ready access to tropical wood.;;;;;;;;;;;;x,,
synthetic_fabric_factory;Synthetic Fabric Factory;;;;;;;;;;;;;
synthetic_fabric_factory_desc;The development of new, durable synthetic fabrics has opened up a whole new industry to satisfy the demands of clothing manufacturers.;;;;;;;;;;;;;
synthetic_silk_factory;Synthetic Silk Factory;;;;;;;;;;;;;
synthetic_silk_factory_desc;The creation of synthetic silk has reduced the reliance of textile factories upon natural sources, as well as reduced the cost of luxury clothing across the world.;;;;;;;;;;;;;
wool_cloth_factories;Wool Factories;;;;;;;;;;;;;
wool_cloth_factories_desc;No longer is wool spun in the homes of promising artisans. Now we have the ability to set up factories where textiles can be created at ten times the rate!;;;;;;;;;;;;;
synthetic_rubber;Synthetic Rubber (+);;;;;;;;;;;;x,,
import_substitution_industrialization_2;Synthetic Tropical Wood Production;;;;;;;;;;;;x,,
